ExitSpeed,VExitAngle,HExitAngle,Cluster
100.9082,5.010584,9.551639,3
91.70258,-6.70878,-9.473309,3
88.24097,-36.75451,-15.445,0
87.94392,0.9970229,15.14559,3
105.8001,-14.62774,20.57255,3
94.5599,-15.6388,23.56907,1
79.15784,6.180243,-15.84084,2
77.14472,1.196444,21.22529,2
76.61929,-24.89726,11.56195,0
73.55372,-0.1892136,-25.13841,2
85.67496,-35.30133,37.81017,1
98.39779,-14.80321,16.21073,3
89.90506,-19.22926,29.34635,1
78.43719,-20.9197,29.78534,1
94.23934,-8.938514,44.9097,1
69.63796,-6.287142,-9.665737,2
81.49873,-0.8128783,8.539303,2
93.2232,-32.86255,52.19598,1
77.6647,-5.633242,18.52549,2
104.8096,-0.1559849,9.163903,3
101.9103,-0.7513142,-10.55308,3
96.57912,2.844349,32.49837,3
84.73001,-9.811227,0.6237313,3
89.90032,-6.411751,15.17052,3
106.7186,-4.229983,-12.9178,3
106.1968,3.561392,-0.2657281,3
101.183,-3.864637,11.39304,3
58.42936,-25.91481,-0.7388856,0
89.69731,-3.469608,29.17381,1
91.45323,-1.417165,15.89311,3
102.4694,2.284379,-6.607308,3
92.56183,-16.77716,0.02031352,3
89.28066,-5.507555,18.94551,3
102.4237,-5.209628,34.24903,3
90.22289,-16.1342,13.67093,3
80.89384,-11.87109,2.571424,0
79.85257,-21.30116,2.314908,0
79.75085,-6.188501,43.67461,1
96.45804,-6.931098,18.72881,3
84.52818,-1.268542,12.1218,2
102.2432,3.108712,10.91351,3
66.83317,7.51669,13.04038,2
93.81165,-16.18447,15.72891,3
70.69096,-56.12609,-13.12934,0
67.39183,-7.429173,37.63003,1
88.8914,-3.010132,34.18373,1
103.3058,4.708378,6.253726,3
105.3642,-1.205203,-15.03915,3
85.48384,-23.06883,53.82007,1
100.0831,-14.03967,13.99778,3
96.85213,-16.50829,5.053214,3
95.96326,-8.261839,32.48724,1
87.34483,-16.98477,11.77185,0
96.71836,-22.0808,-9.797557,0
76.34863,7.551915,18.59713,2
89.0956,-31.1944,21.87097,0
85.81039,-24.60288,-36.15914,0
68.34593,9.434267,-2.202684,2
84.7161,-16.25017,2.743178,0
72.12187,-2.249875,-15.55378,2
72.78987,-29.44944,19.05976,0
96.92281,-0.7503107,25.90977,3
77.52409,8.75968,7.205426,2
85.53433,2.667039,37.23557,1
82.87411,-13.71565,40.70258,1
88.02554,-21.697,-4.293047,0
95.80079,-34.0074,57.15028,1
101.7021,-6.173999,6.886553,3
86.01019,-18.67134,40.64679,1
88.0127,-2.328961,17.41825,3
87.82968,-10.02651,45.89169,1
91.52071,-2.277598,6.417573,3
83.31666,-13.42937,11.79918,0
68.39346,2.862566,16.07086,2
96.86514,-7.231862,14.84515,3
99.22141,2.01915,23.92493,3
89.51327,-24.25629,53.33589,1
80.59061,-3.50299,25.1267,2
74.46863,2.120981,-7.571107,2
94.70532,-13.47487,11.72017,3
102.8981,-9.889359,20.49711,3
105.6962,-5.256782,18.088,3
71.05849,6.723745,-0.4967634,2
95.33414,8.312427,16.04932,3
85.46613,0.5106925,35.48507,1
67.3195,10.40593,2.377011,2
91.271,-13.92273,15.75804,3
92.17603,-0.1118017,39.00811,1
66.39108,-6.255814,-8.226016,2
104.7436,-9.324032,13.70041,3
90.04702,-5.102525,24.28553,3
81.15324,5.413975,5.65301,2
102.1217,6.479656,17.54754,3
104.4432,-16.19398,5.782669,3
82.38698,-17.86448,17.71991,0
86.8691,-2.726344,5.054068,3
76.06622,-1.379395,10.13643,2
104.7212,-4.093173,2.481735,3
90.62665,-1.118896,-7.079837,3
92.08453,-14.09456,42.80132,1
53.7824,-15.57211,-27.21405,0
106.9514,-9.372169,16.08436,3
105.6003,-15.84452,2.084483,3
93.99442,-0.8091967,11.20992,3
100.1587,-7.757419,26.22515,3
79.92929,-41.07374,9.723956,0
94.75838,-8.939301,-13.42255,3
78.0716,-12.75432,36.69952,1
91.67226,-3.798451,7.940209,3
59.91304,0.05307246,12.3544,2
98.16793,0.602717,38.98327,1
72.2791,5.068839,41.10216,2
102.3243,-4.257749,6.765368,3
102.9271,-6.166795,-1.672433,3
105.6255,2.39491,-6.100017,3
100.23,-5.894943,15.45795,3
95.99905,4.432563,19.40632,3
77.12038,-8.108395,7.514151,2
104.4751,-12.82583,21.2317,3
101.2928,0.04987195,18.53694,3
96.25121,-13.52212,47.71211,1
111.2989,2.542433,7.93374,3
95.26695,-4.749046,37.98222,1
97.48127,0.906027,-3.289411,3
96.35087,-11.9214,44.00109,1
61.35838,-47.26106,-7.744768,0
76.77167,-0.6894121,35.32025,1
105.7398,-17.42096,19.13975,3
88.52213,-6.057747,34.70514,1
93.51665,-1.858409,39.57943,1
75.96794,7.251793,11.57467,2
73.51353,-15.82795,3.048337,0
97.66232,-10.11235,4.636858,3
72.97476,-31.08599,-6.556668,0
104.1351,4.04056,16.26475,3
81.9141,-52.12152,13.44851,0
64.35865,13.67111,6.503353,2
80.99551,4.293509,25.69591,2
85.39157,-5.682048,18.202,3
85.40134,-23.7948,15.20843,0
72.37069,-21.37692,-4.329103,0
90.92434,-15.13678,16.8296,3
77.46268,-31.01628,0.5181109,0
89.73499,2.875524,17.78993,3
101.2776,3.408834,11.69738,3
74.36565,9.816095,7.404612,2
74.5742,-20.8692,21.10846,0
73.72039,-20.20278,4.168555,0
67.22988,3.804374,5.763005,2
88.44607,-14.95149,34.61387,1
98.23071,-1.142089,27.12992,3
100.5481,3.971009,24.03468,3
64.26113,13.65444,-1.653153,2
97.09732,-22.73493,9.12213,3
102.1056,-18.42855,10.48901,3
71.99783,-20.01443,22.95155,0
83.0373,6.407465,-9.669713,2
102.817,-1.132018,-1.572558,3
94.81825,-17.32706,30.24415,1
92.75525,-7.362525,-9.022445,3
92.72859,-25.71659,-1.939864,0
101.624,-14.94743,29.31623,1
98.28426,-29.55824,5.063354,0
103.1309,4.912039,19.0157,3
83.87617,-2.143999,40.16317,1
94.59229,-24.53373,-19.90784,0
102.58,-4.537456,17.30919,3
103.4305,-6.924072,12.27698,3
97.8596,0.7618998,36.72147,1
68.178,-16.23918,7.023139,0
79.74303,-4.407892,35.68946,1
71.23486,-53.9665,31.83828,0
83.3169,-3.405694,41.10205,1
93.26566,-26.56709,-0.3287527,0
105.0807,-12.70752,30.34362,3
96.75658,-1.942907,16.42831,3
81.66475,-11.49356,24.91151,1
95.42233,-8.832107,39.66343,1
106.5334,-26.63338,-1.948417,3
107.0041,0.9977554,19.6768,3
93.37069,-12.61239,26.28693,1
86.06604,-3.887594,39.42393,1
74.14759,8.451628,26.3089,2
79.77267,-0.3946027,-0.9399658,2
80.83001,-1.514991,2.05357,2
96.33788,-11.0289,41.33498,1
84.61958,8.93275,16.35931,2
71.45992,6.7393,-1.382174,2
69.50259,-22.3852,-24.73286,0
99.81105,3.318425,-2.075697,3
108.6671,-1.587141,18.49101,3
91.3316,-4.293454,-0.9249405,3
90.49766,-19.97662,48.62066,1
78.24747,4.911492,6.45708,2
79.78571,-9.317186,41.79498,1
97.65718,-5.127297,22.29894,3
87.67743,-30.24164,52.1658,1
83.58565,-8.081335,38.62904,1
97.96507,-4.891613,17.87716,3
85.84222,3.672858,-0.6907994,2
83.59741,-7.776999,-6.092969,2
79.40993,-13.87313,1.400165,0
89.82092,-28.03567,47.46159,1
75.60608,2.22082,19.37471,2
65.01407,-22.56284,2.105151,0
102.0781,-11.26267,27.54815,3
62.16448,6.113028,9.06992,2
100.8006,-14.94268,22.42785,3
102.0676,-19.22909,15.50243,3
87.17933,-33.4918,45.64091,1
82.74013,-9.64585,13.2447,2
85.97835,-14.73486,3.960125,0
99.625,-21.03906,-4.596443,3
88.55412,-18.06528,-3.925381,0
90.74873,6.414342,12.29862,3
93.40306,6.037673,15.90758,3
104.0824,-4.88944,9.941444,3
87.76988,-17.88074,-0.4214014,0
89.42672,6.137784,11.95226,3
75.46082,-3.094599,1.30142,2
61.80219,13.56225,18.33517,2
85.78194,-10.63631,8.057424,3
78.24943,-11.37759,14.12791,2
96.06415,-1.090746,17.85576,3
87.78789,-7.112731,-1.87727,3
96.99856,-23.52867,23.39895,1
89.55902,-1.976496,19.81619,3
91.40002,2.58108,10.79051,3
58.849,-60.00167,35.54131,0
93.02082,5.158878,33.51723,3
102.2264,-14.92005,-22.4605,3
100.5291,-6.949957,-10.54169,3
92.90886,-23.81613,44.52756,1
92.96119,-13.11903,29.17052,1
102.6347,-3.685696,-7.017145,3
96.21296,-3.030884,38.81422,1
99.4114,-5.748628,-4.181529,3
104.3104,3.047621,21.75611,3
63.32339,-40.54371,1.433937,0
80.1776,-14.86726,12.49955,0
60.16362,71.11703,34.03903,2
106.7977,-20.37966,19.96783,3
65.81256,-5.699458,1.941528,2
101.7312,-18.1166,7.534849,3
93.56701,-12.05938,22.67199,1
102.4982,-6.723886,17.85707,3
70.03608,0.2927637,18.10335,2
97.46731,-15.22054,10.65803,3
54.11505,23.32023,12.83714,2
102.8757,-1.117544,10.40175,3
71.68031,-5.862026,16.91543,2
108.8514,-11.22483,16.39344,3
103.0097,-2.333963,28.43774,3
72.14478,8.47451,-3.832311,2
97.12107,-14.87656,1.183553,3
104.1151,5.481714,9.842247,3
102.8899,4.951881,23.21296,3
78.27407,-7.443841,18.91719,2
96.19747,-2.391186,16.98751,3
70.90539,-19.18469,5.134347,0
96.40033,7.399978,9.848091,3
101.6807,5.349297,20.76859,3
81.3024,-6.425949,29.31079,1
99.30919,-15.22792,3.00089,3
79.9061,-15.72323,26.39318,1
96.42676,-4.021675,22.42225,3
85.67374,-14.81286,9.754478,0
93.9184,-23.56532,33.77287,1
68.13245,-17.64147,5.605649,0
94.92014,-30.13439,13.09835,0
73.11552,-1.440486,38.9663,1
97.58416,-23.06714,21.59018,1
92.31429,-18.31683,20.32636,1
90.48367,7.832207,16.25184,3
95.11343,-1.697206,18.5204,3
93.5957,-1.272722,-24.56931,3
90.63084,0.1485254,-5.267024,3
84.1481,-0.20858,11.3081,2
89.85474,-12.08911,17.66045,3
71.66483,4.63622,9.399295,2
79.69524,-7.619746,5.36746,2
85.13524,-26.16573,-1.91755,0
85.22137,-5.581607,7.429799,2
105.2044,-8.69033,0.5804471,3
74.96657,-6.468992,12.59074,2
92.97534,5.833235,21.3902,3
79.71667,-7.692347,46.24984,1
77.01521,-15.80718,41.67737,1
93.78758,3.251781,24.88607,3
78.40285,-9.886482,16.16273,2
85.1431,-6.830188,29.48815,1
99.80952,2.686172,7.906585,3
74.84846,-10.93535,42.88334,1
102.0823,0.4739338,-1.737029,3
70.9214,-12.17784,5.790079,2
98.9724,-11.12216,13.21116,3
89.91693,-8.165384,45.31659,1
93.78056,-12.70194,49.16323,1
91.25767,4.068967,-12.29002,3
69.85383,1.560186,35.71849,2
76.17854,-7.542017,-15.83196,2
101.5466,-12.98693,-2.044652,3
101.7733,-14.86587,-5.658607,3
85.1082,5.169523,10.29137,2
100.6398,-15.81861,-12.37789,3
99.48177,-7.792523,15.14715,3
76.50243,-12.2484,49.95947,1
80.57069,4.462492,-5.388846,2
92.01656,-11.87555,16.01768,3
100.1271,1.643255,35.19946,3
81.48191,-1.257588,31.29304,1
93.6432,-13.14289,-9.843317,3
57.1394,-16.97169,-28.6049,0
