ExitSpeed,VExitAngle,HExitAngle,Cluster
100.9082,5.010584,9.551639,0
91.70258,-6.70878,-9.473309,3
88.24097,-36.75451,-15.445,2
87.94392,0.9970229,15.14559,0
105.8001,-14.62774,20.57255,0
94.5599,-15.6388,23.56907,0
79.15784,6.180243,-15.84084,3
77.14472,1.196444,21.22529,1
76.61929,-24.89726,11.56195,2
73.55372,-0.1892136,-25.13841,3
85.67496,-35.30133,37.81017,4
98.39779,-14.80321,16.21073,0
89.90506,-19.22926,29.34635,4
78.43719,-20.9197,29.78534,4
94.23934,-8.938514,44.9097,4
69.63796,-6.287142,-9.665737,1
81.49873,-0.8128783,8.539303,1
93.2232,-32.86255,52.19598,4
77.6647,-5.633242,18.52549,1
104.8096,-0.1559849,9.163903,0
101.9103,-0.7513142,-10.55308,3
96.57912,2.844349,32.49837,0
84.73001,-9.811227,0.6237313,3
89.90032,-6.411751,15.17052,0
106.7186,-4.229983,-12.9178,3
106.1968,3.561392,-0.2657281,3
101.183,-3.864637,11.39304,0
58.42936,-25.91481,-0.7388856,2
89.69731,-3.469608,29.17381,0
91.45323,-1.417165,15.89311,0
102.4694,2.284379,-6.607308,3
92.56183,-16.77716,0.02031352,3
89.28066,-5.507555,18.94551,0
102.4237,-5.209628,34.24903,0
90.22289,-16.1342,13.67093,0
80.89384,-11.87109,2.571424,2
79.85257,-21.30116,2.314908,2
79.75085,-6.188501,43.67461,4
96.45804,-6.931098,18.72881,0
84.52818,-1.268542,12.1218,1
102.2432,3.108712,10.91351,0
66.83317,7.51669,13.04038,1
93.81165,-16.18447,15.72891,0
70.69096,-56.12609,-13.12934,2
67.39183,-7.429173,37.63003,4
88.8914,-3.010132,34.18373,4
103.3058,4.708378,6.253726,0
105.3642,-1.205203,-15.03915,3
85.48384,-23.06883,53.82007,4
100.0831,-14.03967,13.99778,0
96.85213,-16.50829,5.053214,0
95.96326,-8.261839,32.48724,4
87.34483,-16.98477,11.77185,2
96.71836,-22.0808,-9.797557,3
76.34863,7.551915,18.59713,1
89.0956,-31.1944,21.87097,2
85.81039,-24.60288,-36.15914,3
68.34593,9.434267,-2.202684,1
84.7161,-16.25017,2.743178,2
72.12187,-2.249875,-15.55378,3
72.78987,-29.44944,19.05976,2
96.92281,-0.7503107,25.90977,0
77.52409,8.75968,7.205426,1
85.53433,2.667039,37.23557,4
82.87411,-13.71565,40.70258,4
88.02554,-21.697,-4.293047,2
95.80079,-34.0074,57.15028,4
101.7021,-6.173999,6.886553,0
86.01019,-18.67134,40.64679,4
88.0127,-2.328961,17.41825,0
87.82968,-10.02651,45.89169,4
91.52071,-2.277598,6.417573,0
83.31666,-13.42937,11.79918,2
68.39346,2.862566,16.07086,1
96.86514,-7.231862,14.84515,0
99.22141,2.01915,23.92493,0
89.51327,-24.25629,53.33589,4
80.59061,-3.50299,25.1267,1
74.46863,2.120981,-7.571107,1
94.70532,-13.47487,11.72017,0
102.8981,-9.889359,20.49711,0
105.6962,-5.256782,18.088,0
71.05849,6.723745,-0.4967634,1
95.33414,8.312427,16.04932,0
85.46613,0.5106925,35.48507,4
67.3195,10.40593,2.377011,1
91.271,-13.92273,15.75804,0
92.17603,-0.1118017,39.00811,4
66.39108,-6.255814,-8.226016,1
104.7436,-9.324032,13.70041,0
90.04702,-5.102525,24.28553,0
81.15324,5.413975,5.65301,1
102.1217,6.479656,17.54754,0
104.4432,-16.19398,5.782669,0
82.38698,-17.86448,17.71991,2
86.8691,-2.726344,5.054068,1
76.06622,-1.379395,10.13643,1
104.7212,-4.093173,2.481735,3
90.62665,-1.118896,-7.079837,3
92.08453,-14.09456,42.80132,4
53.7824,-15.57211,-27.21405,2
106.9514,-9.372169,16.08436,0
105.6003,-15.84452,2.084483,3
93.99442,-0.8091967,11.20992,0
100.1587,-7.757419,26.22515,0
