ExitSpeed,VExitAngle,HExitAngle,Cluster
106.0676,-11.37779,-33.40128,0
81.33382,-15.71289,-21.05543,1
106.9413,-14.09344,4.335828,0
79.93704,0.4248905,-23.19772,3
75.29303,3.798208,-35.10453,3
107.0922,5.778877,-16.88817,0
94.04683,-16.54679,-38.36027,1
89.71829,2.750265,-14.74839,0
97.42152,-17.35847,-12.06467,0
73.85052,0.6029303,3.218579,3
51.82165,-27.21224,-11.60812,2
77.53855,7.767738,-29.81107,3
96.48858,-12.99624,-34.48283,1
104.0334,-21.88917,-4.168734,0
84.97237,-15.13408,-17.41767,1
83.8,6.80974,2.392004,3
100.4517,-9.031185,-17.28569,0
73.9418,4.875443,3.065133,3
99.31227,-12.10013,-32.70473,1
106.497,4.039785,-30.28541,0
84.71702,-13.72333,-0.06682219,2
93.24272,-0.3344364,5.073472,0
92.0524,-27.58266,-14.69002,2
87.45696,-11.88458,-34.33195,1
99.09531,6.715645,-16.27836,0
100.9483,-3.76383,-35.98054,0
89.61526,-9.056812,-16.65641,0
89.23927,-3.457567,-40.17732,1
76.59351,-6.333506,35.60511,2
107.5261,-21.82272,-11.22768,0
99.28781,-13.55363,-22.54954,0
79.94943,-10.63604,-40.33081,1
103.3512,1.52567,8.392072,0
94.35497,-8.141238,-24.36222,0
98.80381,-6.537374,-36.15755,0
104.0276,-19.8757,-34.66402,1
101.07,1.494159,-17.0386,0
77.22931,3.065279,-6.663526,3
90.36538,-7.054985,-36.89153,1
68.07954,-12.92189,0.4947278,2
95.79754,-31.25583,-43.88799,1
76.31232,-8.200994,-32.06167,1
90.38448,-22.9915,-10.14968,2
106.6744,-8.293164,-31.38353,0
102.2668,-1.878237,-39.6535,0
97.47791,-1.504799,-32.27257,0
76.77532,-1.265571,-7.521727,3
95.92939,-9.670564,2.544478,0
104.9122,-3.81481,9.900568,0
73.93889,-24.92119,-23.6429,1
83.46881,-16.35525,-7.205009,2
70.40021,1.505795,-5.731369,3
110.0281,-10.15687,6.271698,0
103.1009,-3.449089,-30.04072,0
84.57567,-19.44663,-35.03481,1
99.19392,-17.02164,-9.159811,0
94.9707,-21.3922,41.35298,2
70.05346,5.499753,-15.14581,3
94.3665,-19.54724,-0.8144128,2
55.97342,5.959993,-10.26009,3
90.50159,-26.34379,-32.40282,1
104.8215,-4.098512,-21.84979,0
81.26117,-3.649991,-37.67686,1
69.52347,-12.6427,-43.39073,1
98.92438,-9.477991,-13.7622,0
82.04736,-13.03108,-11.34179,2
101.3351,-15.37571,-9.108563,0
108.8692,-12.54029,-13.92981,0
79.83913,4.635547,-10.74407,3
87.89945,-1.627431,-0.8135506,0
75.08961,-20.41468,-6.827748,2
98.81174,-7.379011,-30.87264,0
84.95172,-29.2566,-14.22333,2
88.66238,-15.73481,-34.29878,1
67.42599,-13.64771,-38.85132,1
76.27194,3.680681,-15.0676,3
